time_start,time_end,speakerId,convId,word,langId,posTag,word_length,concretenessRating,position_of_word,isCognate,subtlex_freq_per_million,ipa_word,length_in_phonemes_ipa,uttId
6,940,JEN,sastre10,ok,shared_other,INTJ,2,2.11,1,0,508.3921569,owkej,5,0
853,3175,JOC,sastre10,no,spa,INTJ,2,2.45,1,1,5971.54902,now,3,1
853,3175,JOC,sastre10,pero,spa,CONJ,4,-1.0,2,0,5373.509615,peɾo,4,1
853,3175,JOC,sastre10,pobrecito,spa,ADJ,9,-1.0,3,0,5.552884615,pobɾesito,9,1
853,3175,JOC,sastre10,he,eng,PRON,2,3.93,4,0,7637.196078,hi,2,1
853,3175,JOC,sastre10,'s,eng,VERB,1,-1.0,5,0,-1.0,z,1,1
853,3175,JOC,sastre10,only,eng,ADV,4,2.41,6,0,1083.705882,ownli,5,1
853,3175,JOC,sastre10,forty,eng,NUM,5,4.14,7,0,10.56862745,fɔɹti,5,1
853,3175,JOC,sastre10,five,eng,NUM,4,3.87,8,0,285.4509804,fajv,4,1
2258,3907,JEN,sastre10,tommy,shared_other,PROPN,5,-1.0,1,0,48.21568627,tɑmi,4,2
3855,5039,JOC,sastre10,no,eng,INTJ,2,2.45,1,1,5971.54902,now,3,3
5024,7312,JEN,sastre10,tommy,shared_other,PROPN,5,-1.0,1,0,48.21568627,tɑmi,4,4
5024,7312,JEN,sastre10,says,eng,VERB,4,-1.0,2,0,320.7058824,sɛz,3,4
5024,7312,JEN,sastre10,que,spa,SCONJ,3,-1.0,3,0,33771.92308,ke,2,4
5024,7312,JEN,sastre10,he,eng,PRON,2,3.93,4,0,7637.196078,hi,2,4
5024,7312,JEN,sastre10,'s,eng,VERB,1,-1.0,5,0,-1.0,z,1,4
6273,7625,JOC,sastre10,he,eng,PRON,2,3.93,1,0,7637.196078,hi,2,5
6273,7625,JOC,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,5
6273,7625,JOC,sastre10,danny,shared_other,PROPN,5,-1.0,3,0,81.33333333,dæni,4,5
6273,7625,JOC,sastre10,'s,eng,PART,1,-1.0,4,0,-1.0,z,1,5
6273,7625,JOC,sastre10,age,eng,NOUN,3,2.86,5,0,79.19607843,ejd͡ʒ,5,5
7498,8740,JEN,sastre10,that,eng,PRON,4,1.54,1,0,14111.31373,ðæt,3,6
7498,8740,JEN,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,6
7498,8740,JEN,sastre10,what,eng,PRON,4,2.0,3,0,9842.45098,wʌt,3,6
7498,8740,JEN,sastre10,i,eng,PRON,1,-1.0,4,0,39971.15686,aj,2,6
7498,8740,JEN,sastre10,told,eng,VERB,4,2.31,5,0,699.5882353,towld,5,6
7498,8740,JEN,sastre10,tommy,shared_other,PROPN,5,-1.0,6,0,48.21568627,tɑmi,4,6
8577,10385,JEN,sastre10,i,eng,PRON,1,-1.0,1,0,39971.15686,aj,2,7
8577,10385,JEN,sastre10,go,eng,VERB,2,3.15,2,0,3793.039216,ɡow,3,7
8577,10385,JEN,sastre10,tommy,shared_other,PROPN,5,-1.0,4,0,48.21568627,tɑmi,4,7
8577,10385,JEN,sastre10,what,eng,PRON,4,2.0,5,0,9842.45098,wʌt,3,7
8577,10385,JEN,sastre10,do,eng,AUX,2,2.46,6,0,6135.588235,du,2,7
8577,10385,JEN,sastre10,you,eng,PRON,3,4.11,7,0,41857.11765,ju,2,7
8577,10385,JEN,sastre10,want,eng,VERB,4,1.93,8,0,2759.176471,wɑnt,4,7
10356,11006,JEN,sastre10,i,eng,PRON,1,-1.0,1,0,39971.15686,aj,2,8
10356,11006,JEN,sastre10,turn,eng,VERB,4,3.44,2,0,306.4705882,tɹ̩n,4,8
10356,11006,JEN,sastre10,around,eng,ADP,6,1.96,3,0,736.7254902,ɹ̩awnd,6,8
10948,12446,JEN,sastre10,you,eng,PRON,3,4.11,2,0,41857.11765,ju,2,9
10948,12446,JEN,sastre10,'re,eng,AUX,2,-1.0,3,0,-1.0,ɹ,1,9
10948,12446,JEN,sastre10,forgetting,eng,VERB,10,1.96,4,0,12.29411765,fɹ̩ɡɛtɪŋ,8,9
10948,12446,JEN,sastre10,that,eng,PRON,4,1.54,5,0,14111.31373,ðæt,3,9
10948,12446,JEN,sastre10,that,eng,PRON,4,1.54,6,0,14111.31373,ðæt,3,9
10948,12446,JEN,sastre10,'s,eng,VERB,1,-1.0,7,0,-1.0,z,1,9
10948,12446,JEN,sastre10,danny,shared_other,PROPN,5,-1.0,8,0,81.33333333,dæni,4,9
10948,12446,JEN,sastre10,'s,eng,PART,1,-1.0,9,0,-1.0,z,1,9
10948,12446,JEN,sastre10,age,eng,NOUN,3,2.86,10,0,79.19607843,ejd͡ʒ,5,9
12436,13714,JEN,sastre10,bonnie,shared_en,PROPN,6,-1.0,1,0,13.64705882,bɑni,4,10
12436,13714,JEN,sastre10,likes,eng,VERB,5,-1.0,2,0,76.25490196,lajks,5,10
12436,13714,JEN,sastre10,los,spa,DET,3,-1.0,3,0,7082.019231,los,3,10
12436,13714,JEN,sastre10,viejos,spa,NOUN,6,-1.0,4,0,51.63461538,bjexos,6,10
13702,14614,JEN,sastre10,what,eng,PRON,4,2.0,1,0,9842.45098,wʌt,3,11
13702,14614,JEN,sastre10,do,eng,AUX,2,2.46,2,0,6135.588235,du,2,11
13702,14614,JEN,sastre10,you,eng,PRON,3,4.11,3,0,41857.11765,ju,2,11
13702,14614,JEN,sastre10,want,eng,VERB,4,1.93,4,0,2759.176471,wɑnt,4,11
13702,14614,JEN,sastre10,her,eng,PRON,3,3.0,5,0,2835.823529,hɹ̩,3,11
13702,14614,JEN,sastre10,to,eng,PART,2,1.55,6,0,22677.84314,tə,2,11
13702,14614,JEN,sastre10,do,eng,VERB,2,2.46,7,0,6135.588235,du,2,11
14610,16630,JOC,sastre10,oh,shared_other,INTJ,2,1.48,1,0,3289.823529,ow,2,12
14610,16630,JOC,sastre10,my,eng,DET,2,2.42,2,1,6762.72549,maj,3,12
14610,16630,JOC,sastre10,god,eng,NOUN,3,2.07,3,0,903.1568627,ɡɑd,3,12
14610,16630,JOC,sastre10,but,eng,CONJ,3,2.04,4,0,4417.470588,bʌt,3,12
14610,16630,JOC,sastre10,he,eng,PRON,2,3.93,5,0,7637.196078,hi,2,12
14610,16630,JOC,sastre10,'s,eng,VERB,1,-1.0,6,0,-1.0,z,1,12
14610,16630,JOC,sastre10,not,eng,PART,3,2.08,7,1,5424.960784,nɑt,3,12
14610,16630,JOC,sastre10,un,spa,DET,2,-1.0,8,0,13081.08173,un,2,12
14610,16630,JOC,sastre10,viejo,spa,ADJ,5,-1.0,9,0,342.5961538,bjexo,5,12
16607,19878,JEN,sastre10,well,eng,INTJ,4,3.33,1,0,2990.647059,wɛl,3,13
16607,19878,JEN,sastre10,tommy,shared_other,PROPN,5,-1.0,2,0,48.21568627,tɑmi,4,13
16607,19878,JEN,sastre10,'s,eng,VERB,1,-1.0,3,0,-1.0,z,1,13
16607,19878,JEN,sastre10,thirty,eng,NUM,6,3.75,4,0,17.17647059,θɹ̩di,5,13
16607,19878,JEN,sastre10,one,eng,NUM,3,3.97,5,1,3072.235294,wʌn,3,13
16607,19878,JEN,sastre10,i,eng,PRON,1,-1.0,6,0,39971.15686,aj,2,13
16607,19878,JEN,sastre10,mean,eng,VERB,4,2.5,7,0,1243.980392,min,3,13
19791,21445,JEN,sastre10,i,eng,PRON,1,-1.0,1,0,39971.15686,aj,2,14
19791,21445,JEN,sastre10,guess,eng,VERB,5,2.28,2,0,453.9803922,ɡɛs,3,14
19791,21445,JEN,sastre10,considerably,eng,ADV,12,1.62,3,0,1.62745098,kənsɪdɹ̩əbli,12,14
19791,21445,JEN,sastre10,for,eng,ADP,3,1.63,4,0,6895.098039,fɔɹ,3,14
19791,21445,JEN,sastre10,him,eng,PRON,3,3.54,5,0,3484.509804,hɪm,3,14
21410,23004,JEN,sastre10,i,eng,PRON,1,-1.0,1,0,39971.15686,aj,2,15
21410,23004,JEN,sastre10,do,eng,AUX,2,2.46,2,0,6135.588235,du,2,15
21410,23004,JEN,sastre10,n't,eng,PART,2,-1.0,3,0,-1.0,nt,2,15
21410,23004,JEN,sastre10,know,eng,VERB,4,1.68,4,0,5721.176471,now,3,15
22116,25575,JOC,sastre10,ten,eng,NUM,3,3.39,1,0,145.0,tɛn,3,16
22116,25575,JOC,sastre10,years,eng,NOUN,5,-1.0,2,0,568.6862745,jɪɹz,4,16
22116,25575,JOC,sastre10,between,eng,ADP,7,2.72,3,0,175.1372549,bɪtwin,6,16
22116,25575,JOC,sastre10,a,eng,DET,1,1.46,4,0,20415.27451,ə,1,16
22116,25575,JOC,sastre10,man,eng,NOUN,3,4.79,5,0,1845.745098,mæn,3,16
22116,25575,JOC,sastre10,and,eng,CONJ,3,1.52,6,0,13387.84314,ænd,3,16
22116,25575,JOC,sastre10,a,eng,DET,1,1.46,7,0,20415.27451,ə,1,16
22116,25575,JOC,sastre10,woman,eng,NOUN,5,4.46,8,0,434.627451,wʊmən,5,16
22116,25575,JOC,sastre10,is,eng,VERB,2,1.59,9,0,9013.0,ɪz,2,16
22116,25575,JOC,sastre10,not,eng,PART,3,2.08,10,1,5424.960784,nɑt,3,16
22116,25575,JOC,sastre10,a,eng,DET,1,1.46,11,0,20415.27451,ə,1,16
22116,25575,JOC,sastre10,big,eng,ADJ,3,3.66,12,0,682.8235294,bɪɡ,3,16
22116,25575,JOC,sastre10,deal,eng,NOUN,4,3.1,13,0,261.372549,dil,3,16
22116,25575,JOC,sastre10,right,eng,INTJ,5,3.47,14,0,4008.392157,ɹajt,4,16
25526,26559,JEN,sastre10,it,eng,PRON,2,2.81,1,0,18896.31373,ɪt,2,17
25526,26559,JEN,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,17
26048,26507,JOC,sastre10,look,eng,VERB,4,2.96,1,0,1947.27451,lʊk,3,18
26048,26507,JOC,sastre10,at,eng,ADP,2,2.07,2,0,3217.098039,æt,2,18
26048,26507,JOC,sastre10,her,eng,PRON,3,3.0,3,0,2835.823529,hɹ̩,3,18
26490,27610,JOC,sastre10,she,eng,PRON,3,3.36,1,0,3732.882353,ʃi,2,19
26490,27610,JOC,sastre10,'s,eng,AUX,1,-1.0,2,0,-1.0,z,1,19
26490,27610,JOC,sastre10,making,eng,VERB,6,2.34,3,0,222.5294118,mejkɪŋ,6,19
26490,27610,JOC,sastre10,faces,eng,NOUN,5,-1.0,4,0,26.7254902,fejsəz,6,19
27604,29807,JOC,sastre10,to,eng,ADP,2,1.55,1,0,22677.84314,tə,2,20
27604,29807,JOC,sastre10,me,eng,PRON,2,4.33,2,0,9241.941176,mi,2,20
27604,29807,JOC,sastre10,apparently,eng,ADV,10,1.75,3,0,47.35294118,əpɛɹəntli,9,20
31473,33760,JOC,sastre10,i,eng,PRON,1,-1.0,1,0,39971.15686,aj,2,21
31473,33760,JOC,sastre10,'ve,eng,VERB,2,-1.0,2,0,-1.0,v,1,21
31473,33760,JOC,sastre10,i,eng,PRON,1,-1.0,4,0,39971.15686,aj,2,21
31473,33760,JOC,sastre10,'ve,eng,AUX,2,-1.0,5,0,-1.0,v,1,21
31473,33760,JOC,sastre10,always,eng,ADV,6,1.71,6,0,655.254902,ɔlwejz,6,21
31473,33760,JOC,sastre10,been,eng,VERB,4,1.92,7,0,1736.72549,bɪn,3,21
31473,33760,JOC,sastre10,partial,eng,ADJ,7,2.31,8,1,4.843137255,pɑɹʃəl,6,21
31473,33760,JOC,sastre10,to,eng,ADP,2,1.55,9,0,22677.84314,tə,2,21
31473,33760,JOC,sastre10,older,eng,ADJ,5,3.19,10,0,41.8627451,owldɹ̩,6,21
31473,33760,JOC,sastre10,men,eng,NOUN,3,4.75,11,0,372.7647059,mɛn,3,21
31765,34226,JEN,sastre10,older,eng,ADJ,5,3.19,1,0,41.8627451,owldɹ̩,6,22
31765,34226,JEN,sastre10,older,eng,ADJ,5,3.19,2,0,41.8627451,owldɹ̩,6,22
31765,34226,JEN,sastre10,el,spa,DET,2,-1.0,3,0,17044.63942,el,2,22
31765,34226,JEN,sastre10,viejo,spa,NOUN,5,-1.0,4,0,342.5961538,bjexo,5,22
31765,34226,JEN,sastre10,we,eng,PRON,2,3.08,5,0,9011.901961,wi,2,22
31765,34226,JEN,sastre10,'re,eng,AUX,2,-1.0,6,0,-1.0,ɹ,1,22
31765,34226,JEN,sastre10,calling,eng,VERB,7,2.85,7,0,123.745098,kɔlɪŋ,5,22
31765,34226,JEN,sastre10,him,eng,PRON,3,3.54,8,0,3484.509804,hɪm,3,22
31765,34226,JEN,sastre10,el,spa,DET,2,-1.0,9,0,17044.63942,el,2,22
31765,34226,JEN,sastre10,viejo,spa,ADJ,5,-1.0,10,0,342.5961538,bjexo,5,22
38847,40293,JOC,sastre10,ah,shared_other,INTJ,2,-1.0,1,0,206.5686275,ɑ,1,23
40107,41378,JEN,sastre10,that,eng,PRON,4,1.54,2,0,14111.31373,ðæt,3,24
40107,41378,JEN,sastre10,'s,eng,VERB,1,-1.0,3,0,-1.0,z,1,24
40107,41378,JEN,sastre10,a,eng,DET,1,1.46,4,0,20415.27451,ə,1,24
40107,41378,JEN,sastre10,problem,eng,NOUN,7,2.68,5,1,330.0588235,pɹɑbləm,7,24
40664,42081,JOC,sastre10,oh,shared_other,INTJ,2,1.48,1,0,3289.823529,ow,2,25
40664,42081,JOC,sastre10,no,eng,INTJ,2,2.45,2,1,5971.54902,now,3,25
40664,42081,JOC,sastre10,that,eng,PRON,4,1.54,3,0,14111.31373,ðæt,3,25
40664,42081,JOC,sastre10,'s,eng,VERB,1,-1.0,4,0,-1.0,z,1,25
40664,42081,JOC,sastre10,not,eng,PART,3,2.08,5,1,5424.960784,nɑt,3,25
40664,42081,JOC,sastre10,legal,eng,ADJ,5,1.79,6,0,35.70588235,liɡəl,5,25
41442,42208,JEN,sastre10,that,eng,PRON,4,1.54,1,0,14111.31373,ðæt,3,26
41442,42208,JEN,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,26
41442,42208,JEN,sastre10,a,eng,DET,1,1.46,3,0,20415.27451,ə,1,26
41442,42208,JEN,sastre10,problem,eng,NOUN,7,2.68,4,1,330.0588235,pɹɑbləm,7,26
42208,43236,JEN,sastre10,that,eng,PRON,4,1.54,1,0,14111.31373,ðæt,3,27
42208,43236,JEN,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,27
42208,43236,JEN,sastre10,a,eng,DET,1,1.46,3,0,20415.27451,ə,1,27
42208,43236,JEN,sastre10,problem,eng,NOUN,7,2.68,4,1,330.0588235,pɹɑbləm,7,27
42208,43236,JOC,sastre10,no,eng,INTJ,2,2.45,1,1,5971.54902,now,3,28
42208,43236,JOC,sastre10,that,eng,PRON,4,1.54,2,0,14111.31373,ðæt,3,28
42208,43236,JOC,sastre10,'s,eng,VERB,1,-1.0,3,0,-1.0,z,1,28
42208,43236,JOC,sastre10,not,eng,PART,3,2.08,4,1,5424.960784,nɑt,3,28
42208,43236,JOC,sastre10,legal,eng,ADJ,5,1.79,5,0,35.70588235,liɡəl,5,28
43245,44092,JOC,sastre10,that,eng,PRON,4,1.54,1,0,14111.31373,ðæt,3,29
43245,44092,JOC,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,29
43245,44092,JOC,sastre10,not,eng,PART,3,2.08,3,1,5424.960784,nɑt,3,29
43245,44092,JOC,sastre10,legal,eng,ADJ,5,1.79,4,0,35.70588235,liɡəl,5,29
44086,47728,JOC,sastre10,although,eng,SCONJ,8,1.07,1,0,42.01960784,ɔlðow,5,30
44086,47728,JOC,sastre10,i,eng,PRON,1,-1.0,2,0,39971.15686,aj,2,30
44086,47728,JOC,sastre10,have,eng,AUX,4,2.18,3,0,6161.411765,hæv,3,30
44086,47728,JOC,sastre10,skated,eng,VERB,6,-1.0,4,0,0.470588235,skejtɪd,7,30
44086,47728,JOC,sastre10,the,eng,DET,3,1.43,5,0,29449.17647,ðə,2,30
44086,47728,JOC,sastre10,twenty,eng,NUM,6,3.67,6,0,27.01960784,twɛnti,6,30
44086,47728,JOC,sastre10,one,eng,NUM,3,3.97,7,1,3072.235294,wʌn,3,30
44086,47728,JOC,sastre10,mark,eng,NOUN,4,4.21,8,1,82.01960784,mɑɹk,4,30
44086,47728,JOC,sastre10,before,eng,ADV,6,1.96,9,0,794.1372549,bɪfɔɹ,5,30
47119,49691,JEN,sastre10,you,eng,PRON,3,4.11,1,0,41857.11765,ju,2,31
47119,49691,JEN,sastre10,have,eng,AUX,4,2.18,2,0,6161.411765,hæv,3,31
47119,49691,JEN,sastre10,skated,eng,VERB,6,-1.0,3,0,0.470588235,skejtɪd,7,31
47119,49691,JEN,sastre10,dangerously,eng,ADV,11,2.24,4,0,1.62745098,dejnd͡ʒɹ̩əsli,13,31
47119,49691,JEN,sastre10,close,eng,ADJ,5,3.2,5,0,219.4313725,klows,5,31
47119,49691,JEN,sastre10,to,eng,ADP,2,1.55,6,0,22677.84314,tə,2,31
47119,49691,JEN,sastre10,there,eng,ADV,5,2.2,7,0,4348.117647,ðɛɹ,3,31
49670,51290,JEN,sastre10,but,eng,CONJ,3,2.04,1,0,4417.470588,bʌt,3,32
49670,51290,JEN,sastre10,that,eng,PRON,4,1.54,2,0,14111.31373,ðæt,3,32
49670,51290,JEN,sastre10,'s,eng,VERB,1,-1.0,3,0,-1.0,z,1,32
49670,51290,JEN,sastre10,fun,eng,NOUN,3,1.97,4,0,235.4901961,fʌn,3,32
51261,52195,JEN,sastre10,that,eng,PRON,4,1.54,1,0,14111.31373,ðæt,3,33
51261,52195,JEN,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,33
51261,52195,JEN,sastre10,fun,eng,ADJ,3,1.97,3,0,235.4901961,fʌn,3,33
51342,53839,JOC,sastre10,i,eng,PRON,1,-1.0,1,0,39971.15686,aj,2,34
51342,53839,JOC,sastre10,am,eng,VERB,2,1.96,2,0,1106.627451,æm,2,34
51342,53839,JOC,sastre10,proud,eng,ADJ,5,2.07,3,0,83.62745098,pɹawd,5,34
51342,53839,JOC,sastre10,to,eng,PART,2,1.55,4,0,22677.84314,tə,2,34
51342,53839,JOC,sastre10,admit,eng,VERB,5,2.32,5,1,59.19607843,ədmɪt,5,34
53812,54718,JOC,sastre10,but,eng,CONJ,3,2.04,1,0,4417.470588,bʌt,3,35
53812,54718,JOC,sastre10,that,eng,PRON,4,1.54,2,0,14111.31373,ðæt,3,35
53812,54718,JOC,sastre10,'s,eng,VERB,1,-1.0,3,0,-1.0,z,1,35
53812,54718,JOC,sastre10,fun,eng,NOUN,3,1.97,4,0,235.4901961,fʌn,3,35
54660,56065,JEN,sastre10,chaquita,shared_es,PROPN,8,-1.0,1,0,-1.0,t͡ʃəkitə,8,36
54660,56065,JEN,sastre10,will,eng,AUX,4,2.64,2,0,2123.647059,wɪl,3,36
54660,56065,JEN,sastre10,realize,eng,VERB,7,2.03,3,0,79.05882353,ɹilajz,6,36
54660,56065,JEN,sastre10,that,eng,PRON,4,1.54,4,0,14111.31373,ðæt,3,36
54660,56065,JEN,sastre10,when,eng,SCONJ,4,1.6,5,0,2034.098039,wɛn,3,36
54660,56065,JEN,sastre10,she,eng,PRON,3,3.36,6,0,3732.882353,ʃi,2,36
54660,56065,JEN,sastre10,'s,eng,VERB,1,-1.0,7,0,-1.0,z,1,36
56041,59433,JEN,sastre10,well,eng,INTJ,4,3.33,1,0,2990.647059,wɛl,3,37
56041,59433,JEN,sastre10,if,eng,SCONJ,2,1.19,2,0,3541.372549,ɪf,2,37
56041,59433,JEN,sastre10,she,eng,PRON,3,3.36,3,0,3732.882353,ʃi,2,37
56041,59433,JEN,sastre10,stays,eng,VERB,5,2.86,4,0,19.15686275,stejz,5,37
56041,59433,JEN,sastre10,with,eng,ADP,4,2.0,5,0,5048.333333,wɪð,3,37
56041,59433,JEN,sastre10,her,eng,DET,3,3.0,6,0,2835.823529,hɹ̩,3,37
56041,59433,JEN,sastre10,boyfriend,eng,NOUN,9,4.59,7,0,72.23529412,bojfɹɛnd,8,37
56041,59433,JEN,sastre10,she,eng,PRON,3,3.36,8,0,3732.882353,ʃi,2,37
56041,59433,JEN,sastre10,wo,eng,AUX,2,-1.0,9,0,1.137254902,wow,3,37
56041,59433,JEN,sastre10,n't,eng,PART,2,-1.0,10,0,-1.0,nt,2,37
56041,59433,JEN,sastre10,realize,eng,VERB,7,2.03,11,0,79.05882353,ɹilajz,6,37
56041,59433,JEN,sastre10,anything,eng,PRON,8,1.38,12,0,907.254902,ɛniθɪŋ,6,37
57924,59015,JOC,sastre10,chaquita,shared_es,PROPN,8,-1.0,1,0,-1.0,t͡ʃəkitə,8,38
57924,59015,JOC,sastre10,wait,eng,VERB,4,2.68,2,0,830.254902,wejt,4,38
59330,60439,JOC,sastre10,wait,eng,VERB,4,2.68,1,0,830.254902,wejt,4,39
59330,60439,JOC,sastre10,until,eng,SCONJ,5,1.33,2,0,302.4705882,əntɪl,5,39
59330,60439,JOC,sastre10,you,eng,PRON,3,4.11,3,0,41857.11765,ju,2,39
59330,60439,JOC,sastre10,get,eng,VERB,3,2.38,4,0,4583.764706,ɡɛt,3,39
59330,60439,JOC,sastre10,older,eng,ADJ,5,3.19,5,0,41.8627451,owldɹ̩,6,39
60404,64610,JEN,sastre10,when,eng,SCONJ,4,1.6,1,0,2034.098039,wɛn,3,40
60404,64610,JEN,sastre10,she,eng,PRON,3,3.36,2,0,3732.882353,ʃi,2,40
60404,64610,JEN,sastre10,gets,eng,VERB,4,-1.0,3,0,222.8235294,ɡɛts,4,40
60404,64610,JEN,sastre10,thirty,eng,NUM,6,3.75,4,0,17.17647059,θɹ̩di,5,40
60404,64610,JEN,sastre10,and,eng,CONJ,3,1.52,5,0,13387.84314,ænd,3,40
60404,64610,JEN,sastre10,she,eng,PRON,3,3.36,6,0,3732.882353,ʃi,2,40
60404,64610,JEN,sastre10,gets,eng,VERB,4,-1.0,7,0,222.8235294,ɡɛts,4,40
60404,64610,JEN,sastre10,that,eng,SCONJ,4,1.54,8,0,14111.31373,ðæt,3,40
60404,64610,JEN,sastre10,young,eng,ADJ,5,3.16,9,0,243.1764706,jʌŋ,3,40
60404,64610,JEN,sastre10,twenty,eng,NUM,6,3.67,10,0,27.01960784,twɛnti,6,40
60404,64610,JEN,sastre10,twenty,eng,NUM,6,3.67,11,0,27.01960784,twɛnti,6,40
60404,64610,JEN,sastre10,one,eng,NUM,3,3.97,12,1,3072.235294,wʌn,3,40
63152,66023,JOC,sastre10,with,eng,ADP,4,2.0,1,0,5048.333333,wɪð,3,41
63152,66023,JOC,sastre10,any,eng,DET,3,1.72,2,0,1099.372549,ɛni,3,41
63152,66023,JOC,sastre10,with,eng,ADP,4,2.0,4,0,5048.333333,wɪð,3,41
63152,66023,JOC,sastre10,any,eng,DET,3,1.72,5,0,1099.372549,ɛni,3,41
63152,66023,JOC,sastre10,luck,eng,NOUN,4,1.33,6,0,153.7254902,lʌk,3,41
63152,66023,JOC,sastre10,she,eng,PRON,3,3.36,7,0,3732.882353,ʃi,2,41
63152,66023,JOC,sastre10,will,eng,AUX,4,2.64,8,0,2123.647059,wɪl,3,41
65686,66237,JEN,sastre10,yeah,shared_en,INTJ,4,1.89,1,0,2985.529412,jæ,2,42
66320,68061,JEN,sastre10,it,eng,PRON,2,2.81,1,0,18896.31373,ɪt,2,43
66320,68061,JEN,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,43
66320,68061,JEN,sastre10,always,eng,ADV,6,1.71,3,0,655.254902,ɔlwejz,6,43
66320,68061,JEN,sastre10,good,eng,ADJ,4,1.64,4,0,2610.137255,ɡʊd,3,43
66320,68061,JEN,sastre10,to,eng,PART,2,1.55,5,0,22677.84314,tə,2,43
66320,68061,JEN,sastre10,go,eng,VERB,2,3.15,6,0,3793.039216,ɡow,3,43
66320,68061,JEN,sastre10,back,eng,ADV,4,4.33,7,0,2009.156863,bæk,3,43
66320,68061,JEN,sastre10,in,eng,ADP,2,3.0,8,1,9773.411765,ɪn,2,43
66320,68061,JEN,sastre10,time,eng,NOUN,4,3.07,9,0,1958.627451,tajm,4,43
68061,70494,JEN,sastre10,i,eng,PRON,1,-1.0,1,0,39971.15686,aj,2,44
68061,70494,JEN,sastre10,have,eng,AUX,4,2.18,2,0,6161.411765,hæv,3,44
68061,70494,JEN,sastre10,n't,eng,PART,2,-1.0,3,0,-1.0,nt,2,44
68061,70494,JEN,sastre10,had,eng,VERB,3,1.77,4,0,1675.921569,hæd,3,44
68061,70494,JEN,sastre10,a,eng,DET,1,1.46,5,0,20415.27451,ə,1,44
68061,70494,JEN,sastre10,young,eng,ADJ,5,3.16,6,0,243.1764706,jʌŋ,3,44
68061,70494,JEN,sastre10,one,eng,NOUN,3,3.97,7,1,3072.235294,wʌn,3,44
68061,70494,JEN,sastre10,dammit,eng,INTJ,6,-1.0,8,0,7.470588235,dæmɪt,5,44
70485,71419,JOC,sastre10,marco,shared_es,PROPN,5,-1.0,1,0,11.90196078,mɑɹkow,6,45
70485,71936,JEN,sastre10,i,eng,PRON,1,-1.0,1,0,39971.15686,aj,2,46
70485,71936,JEN,sastre10,'ve,eng,AUX,2,-1.0,2,0,-1.0,v,1,46
70485,71936,JEN,sastre10,had,eng,VERB,3,1.77,3,0,1675.921569,hæd,3,46
70485,71936,JEN,sastre10,the,eng,DET,3,1.43,4,0,29449.17647,ðə,2,46
70485,71936,JEN,sastre10,older,eng,ADJ,5,3.19,5,0,41.8627451,owldɹ̩,6,46
70485,71936,JEN,sastre10,one,eng,NOUN,3,3.97,6,1,3072.235294,wʌn,3,46
71928,74215,JEN,sastre10,older,eng,ADJ,5,3.19,1,0,41.8627451,owldɹ̩,6,47
71928,74215,JEN,sastre10,ones,eng,PRON,4,-1.0,2,0,101.5098039,wʌnz,4,47
71928,74215,JEN,sastre10,are,eng,VERB,3,1.96,3,0,5209.254902,ɑɹ,2,47
71928,74215,JEN,sastre10,good,eng,ADJ,4,1.64,4,0,2610.137255,ɡʊd,3,47
76569,78322,JEN,sastre10,oh,shared_other,INTJ,2,1.48,1,0,3289.823529,ow,2,48
76569,78322,JEN,sastre10,my,eng,DET,2,2.42,2,1,6762.72549,maj,3,48
76569,78322,JEN,sastre10,god,eng,NOUN,3,2.07,3,0,903.1568627,ɡɑd,3,48
79503,80391,JEN,sastre10,ahi,spa,ADV,3,-1.0,1,0,1027.908654,aʝ,2,49
79503,80391,JEN,sastre10,paso,spa,VERB,4,-1.0,2,0,148.75,paso,4,49
79503,80391,JEN,sastre10,algo,spa,PRON,4,-1.0,3,0,2707.211538,alɡo,4,49
80362,80943,JOC,sastre10,pick,eng,VERB,4,3.82,1,0,198.3921569,pɪk,3,50
80362,80943,JOC,sastre10,it,eng,PRON,2,2.81,2,0,18896.31373,ɪt,2,50
80362,80943,JOC,sastre10,up,eng,ADV,2,3.83,3,0,3670.0,ʌp,2,50
80403,81024,JEN,sastre10,what,eng,PRON,4,2.0,1,0,9842.45098,wʌt,3,51
80403,81024,JEN,sastre10,happened,eng,VERB,8,-1.0,2,0,490.0784314,hæpənd,6,51
81013,81837,JOC,sastre10,it,eng,PRON,2,2.81,1,0,18896.31373,ɪt,2,52
81013,81837,JOC,sastre10,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,52
81013,81837,JOC,sastre10,glass,eng,NOUN,5,4.82,3,0,60.70588235,ɡlæs,4,52
82565,83575,JEN,sastre10,it,eng,PRON,2,2.81,1,0,18896.31373,ɪt,2,53
82565,83575,JEN,sastre10,does,eng,AUX,4,2.24,2,0,666.7058824,dowz,4,53
82565,83575,JEN,sastre10,n't,eng,PART,2,-1.0,3,0,-1.0,nt,2,53
